P_avg,P_max,P_min,P_poc,P_std,V_avg,V_max,V_min,V_poc,V_std,L
973.482,997.03,962.83,0.03513162,12.00990221,434.825733,1668.672431,32.83903772,3.762043663,492.6971747,0
977.394,1002.99,962.83,0.041088855,14.61899009,590.4917624,1808.170654,32.83903772,3.006530708,649.3507161,0
980.886,1002.99,964,0.039749777,14.92108813,642.7195886,1808.170654,32.83903772,2.762217999,632.7319976,0
984.332,1002.99,964.96,0.038635338,14.56292538,653.4151167,1808.170654,32.83903772,2.7170042,623.3798593,0
988.411,1005.75,965.6,0.040620754,14.24306104,724.5135832,1808.170654,80.18084372,2.385034388,584.0406345,0
992.171,1005.75,974.09,0.031909822,12.39524949,738.3626703,1808.170654,207.2917591,2.168147117,568.499439,0
995.238,1005.75,974.09,0.031811486,11.40753922,682.3710325,1808.170654,147.7123135,2.43336581,598.6370762,0
999.328,1014.99,976.71,0.038305741,10.25676016,752.5170053,1808.170654,147.7123135,2.206539292,583.8323861,0
1004.149,1024.92,990.81,0.033969062,9.762549132,829.3504597,1808.170654,147.7123135,2.002119033,585.129703,0
1006.608,1024.92,997.03,0.027706913,9.104062341,758.1296098,1808.170654,147.7123135,2.190203784,510.1593752,0
1009.57,1026.65,997.75,0.028626049,10.37178223,761.0300755,1808.170654,147.7123135,2.1818564,509.6541805,0
1011.471,1026.65,997.75,0.028572248,10.76638436,647.2074002,1183.982961,147.7123135,1.601141531,352.7611309,0
1012.684,1026.65,998.46,0.027836917,9.676931561,664.2543564,1183.982961,147.7123135,1.560050962,359.3400459,0
1014.088,1026.65,1003.2,0.023124226,8.305196232,742.4812554,1183.982961,147.7123135,1.395685938,332.9902191,0
1014.767,1026.65,1003.2,0.023108753,7.81060682,721.6265568,1183.982961,147.7123135,1.436020664,339.3662571,0
1016.941,1026.65,1005.59,0.020709166,7.237877912,747.7177563,1183.982961,147.7123135,1.385911514,304.6562303,0
1018.732,1026.65,1009.88,0.016461641,6.267910869,902.4105854,1694.640605,479.5837098,1.346456829,354.7607025,0
1019.239,1026.65,1009.88,0.016453452,6.135243271,840.7291121,1694.640605,339.0541679,1.612393835,395.6939087,0
1018.178,1026.65,1009.88,0.016470597,5.95851361,767.4299174,1694.640605,339.0541679,1.766397695,392.9246302,0
1018.288,1026.65,1009.88,0.016468818,5.911498776,732.5233773,1694.640605,339.0541679,1.850570889,389.7576748,0
1017.973,1024.94,1009.88,0.014794106,5.484949205,719.8995266,1694.640605,339.0541679,1.883021709,393.1681114,0
1017.771,1024.94,1009.88,0.014797042,5.355840944,744.806812,1694.640605,339.0541679,1.820051073,397.5171348,0
1018.783,1024.94,1012.5,0.012210647,4.602226635,696.3994583,1694.640605,339.0541679,1.946564462,410.5635859,0
